day_label,date,activity,type,time_1,timezone_1_label
November 6,2025-11-06,Arrivals & Check-in,break,08:30,"Time (PT)"
November 6,2025-11-06,"Welcome (Coordinator)",activity,09:00,"Time (PT)"
November 6,2025-11-06,Module 1 ,activity,09:30,"Time (PT)"
November 6,2025-11-06,Break (30min),break,10:30,"Time (PT)"
November 6,2025-11-06,Module 1 Lab ,activity,11:00,"Time (PT)"
November 6,2025-11-06,Lunch (1h),break,13:00,"Time (PT)"
November 6,2025-11-06,Module 2 ,activity,14:00,"Time (PT)"
November 6,2025-11-06,Break (30min),break,15:00,"Time (PT)"
November 6,2025-11-06,Module 2 Lab ,activity,15:30,"Time (PT)"
November 6,2025-11-06,Finished,break,17:30,"Time (PT)"
November 7,2025-11-07,Arrivals,break,08:30,"Time (PT)"
November 7,2025-11-07,Module 3 ,activity,09:00,"Time (PT)"
November 7,2025-11-07,Break (30min),break,10:00,"Time (PT)"
November 7,2025-11-07,Module 3 Lab ,activity,10:30,"Time (PT)"
November 7,2025-11-07,Class photo + Lunch (1h),break,12:30,"Time (PT)"
November 7,2025-11-07,Module 4 ,activity,13:30,"Time (PT)"
November 7,2025-11-07,Break (30min),break,14:30,"Time (PT)"
November 7,2025-11-07,Module 4 Lab ,activity,15:00,"Time (PT)"
November 7,2025-11-07,Finished,break,17:30,"Time (PT)"
